"f_target","b1","design","rho_target","a1","a2","b0","b2","c1","c2","a0","c0","sigma_eY","ax_1","ax_2","bx_1","bx_2","p_x2","rho_U","rho_V","rho_total","rho_rel_U","bias_struct","var_A_given_X","bias_fit1_pop","var_A_given_XV","bias_fit3_pop","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.5,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.416666666666667,0.416666666666667,0,0,1,0.15,0.15,0.2,0.2,0.5,0.25,0.25,0.5,0.5,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.5,0.489854511231512,0.0333096303887991,1,0.467597082805854,0.0387712184721038,1,0.0425130491943048,0.0379101701218866,0.217,0.603651156150243,0.0418223865999938,1,-0.181110638508583,0.0408761678685092,0.994,0.574584758194404,0.0447216671578432,1,0.0690838185480065,0.037951310081827,0.443,-0.192414019354194,0.0412972976756686,0.996,0.0347091462061211,0.0403598702093767,0.0382505548432208,0.0438698125604262,0.0422886993466689,0.0471274320044809,0.0383120990237121,0.0425699915743685,0.189854511231512,0.167597082805854,0.303651156150243,0.274584758194404,"sim","classical","norm",NA,1000,1000,314
0.55,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.375,0.458333333333333,0,0,1,0.15,0.15,0.2,0.2,0.5,0.225,0.275,0.5,0.45,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.55,0.490816492001366,0.0333020398973867,1,0.478248924228279,0.0387565800131906,1,0.0239338365474629,0.0379061881976182,0.101,0.60478956615376,0.0418230996703035,1,-0.18142190328976,0.0409123478161622,0.994,0.58125660675667,0.0442177853918325,1,0.0622967967517648,0.0384043756310285,0.376,-0.195906234849657,0.0418460294361756,0.995,0.0336058720626537,0.0391515112241383,0.0381895495917845,0.0417127346144764,0.0382971245288427,0.0443698599345036,0.0384025991077758,0.0388911038459623,0.190816492001366,0.178248924228279,0.30478956615376,0.28125660675667,"sim","classical","norm",NA,1000,1000,314
0.6,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.333333333333333,0.5,0,0,1,0.15,0.15,0.2,0.2,0.5,0.2,0.3,0.5,0.4,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.6,0.49105980712941,0.0332925153947239,1,0.486727083989522,0.0388013541725278,1,0.00823059339571288,0.0379323825602158,0.064,0.604923399221185,0.0417671971999642,1,-0.181593992863309,0.0408384940307743,0.994,0.585231818783714,0.0437724302002421,1,0.0583755613730346,0.0390361356583102,0.313,-0.199020623272381,0.0424409679149379,0.997,0.0334061061782321,0.0388562460713809,0.0377163956932858,0.0412488442168471,0.0403821383041111,0.0433474302944303,0.0389910869177922,0.0418855631556249,0.19105980712941,0.186727083989522,0.304923399221185,0.285231818783714,"sim","classical","norm",NA,1000,1000,314
0.65,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.291666666666667,0.541666666666667,0,0,1,0.15,0.15,0.2,0.2,0.5,0.175,0.325,0.5,0.35,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.65,0.488774320628763,0.0332838796668534,1,0.49339206966741,0.0387726736226851,1,-0.00885290543795838,0.0378753869235274,0.051,0.6025998225407,0.0418053931939365,1,-0.180848112573258,0.0408179579265487,0.992,0.586954912432153,0.043386691325912,1,0.0534476435847707,0.0398324464084124,0.282,-0.200538116777317,0.0433484690140409,0.997,0.0342825877849283,0.0399725966721918,0.0386028935117636,0.0425143790743556,0.0416837843390629,0.0442404200526996,0.0408119353251869,0.0441787991596975,0.188774320628763,0.19339206966741,0.3025998225407,0.286954912432153,"sim","classical","norm",NA,1000,1000,314
0.7,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.25,0.583333333333333,0,0,1,0.15,0.15,0.2,0.2,0.5,0.15,0.35,0.5,0.3,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.7,0.488449240325269,0.0333004296369506,1,0.501806222008462,0.0387794527112582,1,-0.0254799894901196,0.0378814339483257,0.0969999999999999,0.602010978201161,0.0418406147322575,1,-0.180476151967626,0.0408763731764064,0.992,0.590017765404813,0.0430899467346425,1,0.0473636752263001,0.0408524040268112,0.203,-0.200882721990926,0.0445009399496112,0.994,0.0339145414179768,0.0395679273387344,0.0374717769496013,0.0422131179158944,0.0404847610754906,0.0434915677096625,0.0405762574507759,0.0441021639746878,0.188449240325269,0.201806222008462,0.302010978201161,0.290017765404813,"sim","classical","norm",NA,1000,1000,314
0.75,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.208333333333333,0.625,0,0,1,0.15,0.15,0.2,0.2,0.5,0.125,0.375,0.5,0.25,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.75,0.489172147814373,0.0332877709687348,1,0.512252465564932,0.0387406188768585,1,-0.0441424932425026,0.0379322184167318,0.219,0.602930483649756,0.041750487878238,1,-0.181574258206712,0.0408631460054081,0.992,0.594307630569327,0.0426885010100638,1,0.0411385867544999,0.042297669695564,0.147,-0.202127884065546,0.0459851599064118,0.986,0.0343918912932622,0.0399902802009045,0.0379569849068396,0.04280351765287,0.0416416671738523,0.043818816469747,0.0424566389509084,0.0470040124286064,0.189172147814373,0.212252465564932,0.302930483649756,0.294307630569327,"sim","classical","norm",NA,1000,1000,314
0.8,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.166666666666667,0.666666666666667,0,0,1,0.15,0.15,0.2,0.2,0.5,0.1,0.4,0.5,0.2,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.8,0.488831680655687,0.0332921889425574,1,0.519118271212828,0.0387392978021991,1,-0.0579328674499214,0.0379561470923851,0.322,0.602709369952166,0.0418180312580897,1,-0.181134631883044,0.0408921120621751,0.993,0.596110429354067,0.0424759035234626,1,0.0391160181962985,0.0440224607703766,0.154,-0.203219428728166,0.0478347536064539,0.99,0.0342304057201473,0.0389577094532768,0.0387167432310814,0.0406540609870927,0.0397610980029226,0.0413960283785948,0.045209120675967,0.0467614344752412,0.188831680655687,0.219118271212828,0.302709369952166,0.296110429354067,"sim","classical","norm",NA,1000,1000,314
0.85,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.125,0.708333333333333,0,0,1,0.15,0.15,0.2,0.2,0.5,0.075,0.425,0.5,0.15,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.85,0.4900910393823,0.0333356441436914,1,0.530313521010589,0.038710352894886,1,-0.076906953211335,0.0378159476452995,0.52,0.603249480097428,0.0418121434915173,1,-0.180406385241681,0.0408658697399968,0.994,0.5995999807319,0.0422231519231834,1,0.0292046537035509,0.0461258594976142,0.105,-0.198908662368995,0.0502264919853781,0.97,0.0335150375811741,0.0389030717786134,0.0400876102931843,0.0420701918857431,0.0408416695528898,0.042601004102218,0.0479329758071363,0.0492563274060768,0.1900910393823,0.230313521010589,0.303249480097428,0.2995999807319,"sim","classical","norm",NA,1000,1000,314
0.9,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.0833333333333333,0.75,0,0,1,0.15,0.15,0.2,0.2,0.5,0.05,0.45,0.5,0.1,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.9,0.487957983621922,0.033308700361115,1,0.536963770228567,0.0386709344547102,1,-0.0934898032594714,0.0377879983375986,0.691,0.601412024472452,0.0417866242860036,1,-0.180717805310359,0.0408292343719658,0.995,0.599466174181381,0.0420075357013187,1,0.0227605273731683,0.0490364726262197,0.078,-0.196586796242728,0.053338308193505,0.948,0.0332452726561218,0.0384830881040912,0.0364889817605466,0.0411182232684736,0.0395864329595059,0.0412424246717394,0.0494602511032265,0.0537801521646045,0.187957983621922,0.236963770228567,0.301412024472452,0.299466174181381,"sim","classical","norm",NA,1000,1000,314
0.95,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0.0416666666666666,0.791666666666667,0,0,1,0.15,0.15,0.2,0.2,0.5,0.025,0.475,0.5,0.0499999999999999,0.18,0.955,0.18848167539267,0.595,0.302521008403361,0.95,0.488692760579699,0.0333285724620622,1,0.547004283882766,0.038636919511587,1,-0.111337999850604,0.0377611712598153,0.846,0.602428981297023,0.0418482310287946,1,-0.180782749025797,0.0408677450013755,0.993,0.601951780423168,0.041926574340473,1,0.0109823509106904,0.0528533918413119,0.061,-0.18918534438961,0.0575124166365263,0.911,0.0333214529662905,0.0382960514601735,0.0373471097202011,0.0414951430249619,0.0406148061620668,0.0415263928477223,0.0542368417836747,0.0591205310620937,0.188692760579699,0.247004283882766,0.302428981297024,0.301951780423168,"sim","classical","norm",NA,1000,1000,314
1,0.3,"D2_WithX",0.5,0.6,0.6,0,0.3,0,0.833333333333333,0,0,1,0.15,0.15,0.2,0.2,0.5,0,0.5,0.5,0,0.18,0.955,0.18848167539267,0.595,0.302521008403361,1,0.487061033434951,0.0333596421489958,1,0.554465057897421,0.0386287467737253,1,-0.128571178285235,0.0377022923403722,0.918,0.601236825859438,0.0419047457390779,1,-0.181518958636896,0.0409416983641872,0.994,0.601189326703251,0.0419238431960461,1,-0.00257719007573208,0.058362588727402,0.059,-0.179361855345886,0.0636253096318499,0.803,0.0339871547159212,0.0401249212116011,0.03912249731282,0.0427098371202401,0.0404518634836198,0.0426906058271326,0.0611604169548826,0.0636583439303408,0.187061033434951,0.254465057897421,0.301236825859438,0.301189326703251,"sim","classical","norm",NA,1000,1000,314
