"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_N_fit2","se_N_fit2","power_N_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_N_fit4","se_N_fit4","power_N_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_N_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_N_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.5,0.3,"D2",0.5,0.6,0.6,0.3,0.416666666666667,0.416666666666667,0,0,0,1,0.25,0.25,0.5,0.5,0.18,0.5,0.482430576981854,0.0323518670007847,1,0.45944411803562,0.0377045370130154,1,0.0462784361160724,0.0382932987283331,0.26,0.587411007473611,0.0402593913758765,1,-0.1724434119187,0.0401396606851238,0.976,0.557519940959202,0.0430192625134472,1,0.0763475940179493,0.0384916074580451,0.518,-0.186244991661829,0.0406854344596238,0.981,0.035414931920786,0.040794927253187,0.0409370958628698,0.0504083694913332,0.0456561546294965,0.0525125949412657,0.0419184946461913,0.0450498442086826,0.182430576981854,0.15944411803562,0.287411007473611,0.257519940959202,"sim","classical","t",3,1000,1000,314
0.55,0.3,"D2",0.5,0.6,0.6,0.3,0.375,0.458333333333333,0,0,0,1,0.225,0.275,0.5,0.45,0.18,0.55,0.481561099556404,0.0324453156804853,1,0.466911151817955,0.037776024529529,1,0.0293789329306257,0.0382238500887771,0.13,0.586489539221305,0.0403422911428976,1,-0.172169634910955,0.0401831183167845,0.976,0.561435867281983,0.042638502441694,1,0.0708638852010239,0.0389265966949172,0.443,-0.189688249167161,0.0412735751435018,0.988,0.034741325817433,0.0401158909020394,0.0393507444106065,0.0480486540124713,0.0438360054806626,0.0499215592156072,0.0421241011951718,0.0443057190790846,0.181561099556404,0.166911151817955,0.286489539221305,0.261435867281983,"sim","classical","t",3,1000,1000,314
0.6,0.3,"D2",0.5,0.6,0.6,0.3,0.333333333333333,0.5,0,0,0,1,0.2,0.3,0.5,0.4,0.18,0.6,0.481327624059689,0.0323477812132149,1,0.475309830093177,0.0376184000545322,1,0.0124360484537699,0.0379743260061426,0.057,0.586209539707216,0.0402247536088538,1,-0.172217956039464,0.0400854984680731,0.977,0.565757367961723,0.0420883558155864,1,0.0653476513059247,0.0393479829962913,0.384,-0.192620011377752,0.0418934421193955,0.991,0.034395407921105,0.0414619281007718,0.0372507482944126,0.0495784299192678,0.0433068704616922,0.0514888359633719,0.0403762097988005,0.0438364254099895,0.181327624059689,0.175309830093177,0.286209539707216,0.265757367961723,"sim","classical","t",3,1000,1000,314
0.65,0.3,"D2",0.5,0.6,0.6,0.3,0.291666666666667,0.541666666666667,0,0,0,1,0.175,0.325,0.5,0.35,0.18,0.65,0.482913134041352,0.0323063478044132,1,0.485886634227166,0.03763954438795,1,-0.00528699127019847,0.0379364965817639,0.062,0.588422283890932,0.0401632451297318,1,-0.172986748671339,0.0399484947286016,0.977,0.571792919162737,0.0417063765034078,1,0.0600224827156588,0.0401928472198463,0.328,-0.195566785858147,0.0426863376683014,0.988,0.0351301793685426,0.0419366691324824,0.0407644348979818,0.0485493121683638,0.0429071865838528,0.05018093372967,0.0442772506566816,0.0443052587539448,0.182913134041352,0.185886634227166,0.288422283890932,0.271792919162737,"sim","classical","t",3,1000,1000,314
0.7,0.3,"D2",0.5,0.6,0.6,0.3,0.25,0.583333333333333,0,0,0,1,0.15,0.35,0.5,0.3,0.18,0.7,0.479532214659249,0.0322803733980041,1,0.49275662840541,0.0375360092697725,1,-0.0258365611349343,0.0378322124135917,0.107,0.584967668052736,0.0401419454194571,1,-0.172978964211511,0.0399529517189521,0.98,0.573099976714102,0.041324911155106,1,0.0503576764510626,0.0412568629078388,0.261,-0.195225564690563,0.0439033973814732,0.989,0.0352319685570619,0.0452915071396372,0.0484159539819598,0.0497071316531684,0.0427360929064178,0.0526090788167424,0.0528664402076526,0.0454961450323566,0.179532214659249,0.19275662840541,0.284967668052736,0.273099976714102,"sim","classical","t",3,1000,1000,314
0.75,0.3,"D2",0.5,0.6,0.6,0.3,0.208333333333333,0.625,0,0,0,1,0.125,0.375,0.5,0.25,0.18,0.75,0.480759610915489,0.0319183424428592,1,0.501255816905724,0.0371622105260716,1,-0.0399299846390906,0.037587165549249,0.185,0.585948541120112,0.0397322892536097,1,-0.172169695642949,0.0395166894532867,0.983,0.576295981049066,0.0406180907683813,1,0.0494071537164626,0.0424918976455138,0.224,-0.197294728428791,0.0450155320323065,0.987,0.0348539104439083,0.0404045717554505,0.037932593485752,0.0466151235612374,0.0410815792806134,0.0471938747540347,0.0435353758148208,0.0454352817371472,0.180759610915489,0.201255816905724,0.285948541120112,0.276295981049066,"sim","classical","t",3,1000,1000,314
0.8,0.3,"D2",0.5,0.6,0.6,0.3,0.166666666666667,0.666666666666667,0,0,0,1,0.1,0.4,0.5,0.2,0.18,0.8,0.482965300009162,0.0325926036239525,1,0.511357240586371,0.0378727259716421,1,-0.0556342504640392,0.0381316935082331,0.324,0.58784187516131,0.0405931763331099,1,-0.1718776545582,0.0404125589487757,0.974,0.58096090354722,0.0412187843997585,1,0.0439426267392174,0.0449939090729176,0.166,-0.197094432618289,0.0479820719688883,0.967,0.0336314859875343,0.0405879512405816,0.0398959651515122,0.0467194566233454,0.0441534244016976,0.047398731083801,0.0454984342485201,0.0502525373796836,0.182965300009163,0.211357240586371,0.28784187516131,0.28096090354722,"sim","classical","t",3,1000,1000,314
0.85,0.3,"D2",0.5,0.6,0.6,0.3,0.125,0.708333333333333,0,0,0,1,0.075,0.425,0.5,0.15,0.18,0.85,0.48125295582191,0.0324278779383073,1,0.518839636244995,0.0375993876350649,0.999,-0.0737714857205282,0.0377660290836098,0.525,0.587556754325027,0.0403403258875776,1,-0.174344935170457,0.0401627841450343,0.977,0.583243422927414,0.0407337785341503,1,0.0365097908539125,0.0468684905524179,0.118,-0.19755266381171,0.0501020333416065,0.962,0.0350311810059122,0.043876421038699,0.0426242225768583,0.0495310732022113,0.0430533309715071,0.0502607084050659,0.0505255424761578,0.0514370067201176,0.18125295582191,0.218839636244995,0.287556754325027,0.283243422927414,"sim","classical","t",3,1000,1000,314
0.9,0.3,"D2",0.5,0.6,0.6,0.3,0.0833333333333333,0.75,0,0,0,1,0.05,0.45,0.5,0.1,0.18,0.9,0.480295415548866,0.0323632078698081,1,0.527461237359152,0.0374741050939251,1,-0.0930375509185438,0.0378108709778298,0.694,0.585472355816648,0.0401894737986173,1,-0.173286229828716,0.0401388257796329,0.976,0.583529865370159,0.0404036767384362,1,0.0251222515893336,0.0502070818351258,0.07,-0.190997791198952,0.0535169957959498,0.945,0.0372816013927733,0.046011463654864,0.0419462206220004,0.0516306138445355,0.0441366672998646,0.0519462603102893,0.0514951081000843,0.0551182087571565,0.180295415548866,0.227461237359152,0.285472355816648,0.283529865370159,"sim","classical","t",3,1000,1000,314
0.95,0.3,"D2",0.5,0.6,0.6,0.3,0.0416666666666666,0.791666666666667,0,0,0,1,0.025,0.475,0.5,0.0499999999999999,0.18,0.95,0.479567426284389,0.0323575934161383,1,0.532627482283824,0.0373899132507452,1,-0.104927548235929,0.0375114097703349,0.8,0.582882417195547,0.0401949013452947,1,-0.170274911340133,0.0400723529175738,0.98,0.582214401106624,0.0402730601751133,1,0.0175563238431973,0.0537941242637452,0.049,-0.183751412896776,0.0576290136967836,0.884,0.0354624809517675,0.0419664305835411,0.0378252117012891,0.0475032547487016,0.0419963000872855,0.0474966005216102,0.0529138347467659,0.060044070130188,0.179567426284389,0.232627482283824,0.282882417195547,0.282214401106624,"sim","classical","t",3,1000,1000,314
1,0.3,"D2",0.5,0.6,0.6,0.3,0,0.833333333333333,0,0,0,1,0,0.5,0.5,0,0.18,1,0.481812076741478,0.0321106242017018,1,0.543586986409895,0.0370804310081299,1,-0.121331791085481,0.0371041577513116,0.889,0.585312173024052,0.0399690564211953,1,-0.169198357442063,0.0397035979393685,0.973,0.585307583093916,0.0399903560362701,1,0.0024406452924635,0.0592228679558834,0.0440000000000001,-0.171222061640878,0.0634581307585786,0.772,0.0347622768390657,0.0422815543864736,0.0397185784890509,0.0480300090484607,0.0435361333698261,0.0480092801834428,0.0580624485010834,0.06608893787056,0.181812076741478,0.243586986409895,0.285312173024052,0.285307583093916,"sim","classical","t",3,1000,1000,314
