"f_target","b1","design","rho_target","a1","a2","b2","c1","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","f_achieved","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_N_fit2","se_N_fit2","power_N_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_N_fit4","se_N_fit4","power_N_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_N_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_N_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.2,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.4,0.1,0,0,0,1,0.16,0.04,0.2,0.8,0.12,0.2,0.424399817173773,0.0328104199754389,1,0.402958708330424,0.0334076212808748,1,0.104453268127778,0.0336540399086112,0.859,0.449807459436994,0.0359344385652853,1,-0.060150382821658,0.0355057432135531,0.407,0.42890874517191,0.0364072164766226,1,0.105462143631791,0.0336249273776662,0.86,-0.0621369162125683,0.035356934397713,0.421,0.0366990150929637,0.0357956792349935,0.0369940048158175,0.0419502960044883,0.0369138394560682,0.0406104721030396,0.0371120606469018,0.0364934631597823,0.124399817173773,0.102958708330424,0.149807459436994,0.12890874517191,"sim","classical","t",3,1000,1000,314
0.2,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.266666666666667,0.0666666666666667,0,0,0,1,0.16,0.04,0.2,0.8,0.18,0.2,0.481120075411917,0.0322109561143336,1,0.471373793094595,0.0328916855691406,1,0.0488785726608297,0.0335207308581922,0.313,0.586677675691295,0.040064341979706,1,-0.17296522505225,0.0398562100611212,0.978,0.577135400485564,0.0409494511596148,1,0.0383475614513819,0.0333259699949658,0.216,-0.169800314726893,0.0399565265114599,0.977,0.0334889334484154,0.0342902108357559,0.0372257260412684,0.0475787705295924,0.0437820893112398,0.0482892339421268,0.0369971049057839,0.0435119565927096,0.181120075411917,0.171373793094595,0.286677675691295,0.277135400485564,"sim","classical","t",3,1000,1000,314
0.2,0.3,"D2_varyA1Rho",0.4,0.4,0.4,0.3,0.8,0.2,0,0,0,1,0.32,0.08,0.4,0.8,0.12,0.2,0.424181697309995,0.0329564820688805,1,0.327280500075249,0.035407361933684,1,0.233564407042314,0.0349941278325971,1,0.450053111345451,0.0361204077338177,1,-0.0607256422817871,0.0355118809512678,0.416,0.355733672477266,0.0380297385617534,1,0.23633132382587,0.0349791107401717,0.999,-0.0702992025213904,0.0347756707334801,0.526,0.0366631628918939,0.0367812337897508,0.0421875519907238,0.0426649277975868,0.036559832455324,0.0400246039540405,0.0424303127540263,0.0345792245007684,0.124181697309996,0.0272805000752493,0.150053111345451,0.0557336724772663,"sim","classical","t",3,1000,1000,314
0.2,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.533333333333333,0.133333333333333,0,0,0,1,0.32,0.08,0.4,0.8,0.18,0.2,0.481172253075599,0.0321329685637305,1,0.436884493787503,0.0350933695689694,1,0.110207246199791,0.0356576494174185,0.843,0.586014363699615,0.0399668152801703,1,-0.172295533920433,0.0398288523751719,0.983,0.541481427127869,0.0438779986193875,1,0.0882961288496993,0.0358511213223188,0.674,-0.157234459789262,0.0402220938782708,0.967,0.0346327455661239,0.0364930854753031,0.0419476051634586,0.0489480972023782,0.0427538068701249,0.0518778423883838,0.0421072480760507,0.043064551239225,0.181172253075599,0.136884493787503,0.286014363699615,0.241481427127869,"sim","classical","t",3,1000,1000,314
0.2,0.3,"D2_varyA1Rho",0.6,0.6,0.6,0.3,0.8,0.2,0,0,0,1,0.48,0.12,0.6,0.8,0.18,0.2,0.48164902874489,0.0322489177881625,1,0.35345147802443,0.0400905994343461,0.999,0.211705847369051,0.0401721908123877,0.994,0.587172843165683,0.0401050864291916,1,-0.173197262450082,0.0399338911411479,0.979,0.451954845848732,0.050980292476464,0.999,0.177429164482168,0.041524628392879,0.972,-0.127295861359047,0.0410901842713699,0.853,0.0344733224550301,0.0433115544482127,0.0463184492672086,0.0490247109848092,0.0442581340044048,0.0584349331392702,0.0476952507895209,0.0438043412662137,0.18164902874489,0.05345147802443,0.287172843165683,0.151954845848732,"sim","classical","t",3,1000,1000,314
0.25,0.3,"D2_varyA1Rho",0.2,0.2,0.2,0.3,0.75,0.25,0,0,0,1,0.15,0.05,0.2,0.75,0.06,0.25,0.363385568109387,0.0334587245057742,1,0.316250048242506,0.0334473489775591,1,0.224557476531404,0.0329422067867314,0.997,0.365937848516457,0.0342279452610953,1,-0.0118601106127242,0.0334382123506249,0.057,0.326797769578706,0.0338686300580275,1,0.238809028621044,0.0337245657485396,0.997,-0.0638475876617474,0.0334543141375176,0.492,0.0352532369736226,0.0336451439299761,0.0377674593996843,0.0360049008087055,0.0330948391333239,0.0341927848450334,0.0395815016155101,0.0333716383603031,0.0633855681093867,0.0162500482425057,0.0659378485164575,0.0267977695787061,"sim","classical","t",3,1000,1000,314
0.25,0.3,"D2_varyA1Rho",0.2,0.4,0.4,0.3,0.375,0.125,0,0,0,1,0.15,0.05,0.2,0.75,0.12,0.25,0.423564503365257,0.0330856810656947,1,0.403975321858592,0.0337131341173744,1,0.0949932495673848,0.0338699352159965,0.786,0.448717188204509,0.0362051956805022,1,-0.0597065446650637,0.0355826353328027,0.384,0.430523558206514,0.0366250223558377,1,0.0979198920802766,0.0338725108547889,0.811,-0.0646807713602592,0.0354921263073673,0.446,0.0373353986687318,0.0377788549683784,0.0400040143238124,0.0430120384537099,0.036183759942295,0.0429304605842967,0.0402138982931832,0.0358055681056091,0.123564503365257,0.103975321858592,0.148717188204509,0.130523558206514,"sim","classical","t",3,1000,1000,314
0.25,0.3,"D2_varyA1Rho",0.2,0.6,0.6,0.3,0.25,0.0833333333333333,0,0,0,1,0.15,0.05,0.2,0.75,0.18,0.25,0.480867462190235,0.0322227094903169,1,0.472321431923912,0.0329370795783304,1,0.0423377448406266,0.0336300565158274,0.234,0.58550081069896,0.0400724466494309,1,-0.171551082353129,0.0398181545232539,0.986,0.577176499823203,0.0408727161934306,1,0.0350755602821286,0.0333884474151769,0.177,-0.169480596397031,0.0398704292923374,0.986,0.0349499251277855,0.0353545646200146,0.034442631500785,0.0473929532966105,0.0411903966073079,0.04760776012559,0.0339091490752066,0.0410697917060096,0.180867462190235,0.172321431923912,0.28550081069896,0.277176499823203,"sim","classical","t",3,1000,1000,314
0.25,0.3,"D2_varyA1Rho",0.4,0.4,0.4,0.3,0.75,0.25,0,0,0,1,0.3,0.1,0.4,0.75,0.12,0.25,0.422143502106482,0.032817363528318,1,0.334939478608373,0.0353374707384248,1,0.212999631309297,0.0350837142041064,1,0.447548005872745,0.0359136377964083,1,-0.0604539634149312,0.0354552470717527,0.403,0.365924316299801,0.0375854196295572,1,0.22160856518075,0.0351971430840666,1,-0.0831517481874853,0.034977295351742,0.658,0.0376805353263011,0.0366626384064361,0.0398414075196595,0.0437472936101562,0.0368221117005984,0.0404014596584669,0.0407132916529664,0.035839812305231,0.122143502106482,0.0349394786083734,0.147548005872745,0.0659243162998006,"sim","classical","t",3,1000,1000,314
0.25,0.3,"D2_varyA1Rho",0.4,0.6,0.6,0.3,0.5,0.166666666666667,0,0,0,1,0.3,0.1,0.4,0.75,0.18,0.25,0.480202251541786,0.0323232666945396,1,0.441222198429431,0.0353264628569568,1,0.096739683811738,0.0357875276928891,0.767,0.585313651546132,0.0402064155794171,1,-0.172341603670412,0.040010560692483,0.975,0.546884254383431,0.0436023599476372,1,0.0811876157373011,0.0357196698629507,0.627,-0.162847782327962,0.0401576785430726,0.967,0.0341995760265062,0.0374225027877729,0.040456774623897,0.0477096137966681,0.0436150819768044,0.0505732135921103,0.0397710132499078,0.0430562380572907,0.180202251541786,0.141222198429431,0.285313651546132,0.246884254383431,"sim","classical","t",3,1000,1000,314
