"a1","c1","b1","b2","a2","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.15,0.1,0.5,0.3,0,0,0,0,0,1,0.015,0,0.015,1,0.075,"NoV",0.374952647671161,0.0352727937756606,1,0.374314128630518,0.0352604320790348,1,0.0488351336700214,0.0352544095290928,0.291,0.374903271868088,0.0352906000115567,1,0.000439740010518546,0.0353136201940809,0.048,0.374265812730454,0.035278263214346,1,0.0488497199958043,0.0352740588038559,0.289,0.000488095194603173,0.035297488121227,0.047,0.0349882142150595,0.0349955316270219,0.0357370558510899,0.0350202194062249,0.033795927563151,0.0350300726074906,0.0357518622678958,0.0338018384078321,0.0749526476711612,0.0743141286305183,0.0749032718680875,0.0742658127304539,"sim","classical","norm",NA,1000,1000,314
0.15,0.3,0.5,0.3,0,0,0,0,0,1,0.045,0,0.045,1,0.075,"NoV",0.374768357048561,0.035302550722726,1,0.368099192334238,0.035049761942664,1,0.146663429767496,0.0350615638779264,0.988,0.374826257977028,0.0353209313104997,1,-0.000221468804596249,0.0353216257406577,0.04,0.368162158384203,0.03506767757462,1,0.146746895764641,0.0350804919351961,0.987,-0.000562887008163544,0.0350336572098088,0.039,0.0355509001540586,0.0355084847878357,0.0354957774102165,0.0356715387506725,0.0347902440298718,0.0356309038854587,0.0354758261631259,0.034789409515757,0.0747683570485613,0.068099192334238,0.0748262579770285,0.0681621583842029,"sim","classical","norm",NA,1000,1000,314
0.15,0.5,0.5,0.3,0,0,0,0,0,1,0.075,0,0.075,1,0.075,"NoV",0.377488761640506,0.0352634933513845,1,0.358746803090406,0.0345205310211512,1,0.24563162380033,0.0345572312851878,1,0.37750562405168,0.0352817624213234,1,-0.000859154677172089,0.0353181996584424,0.056,0.358778631500455,0.034538223886179,1,0.245638025375609,0.0345760167371329,1,-0.000866508490587249,0.0344733648118754,0.052,0.034547207953801,0.0335767339210193,0.0350359655316832,0.0346908022908942,0.0344269635265407,0.033695655707599,0.0351017074844127,0.0336302362112254,0.0774887616405059,0.0587468030904063,0.07750562405168,0.0587786315004545,"sim","classical","norm",NA,1000,1000,314
0.15,0.7,0.5,0.3,0,0,0,0,0,1,0.105,0,0.105,1,0.075,"NoV",0.373721199642062,0.0353372778087188,1,0.337453505432704,0.0338190910440111,1,0.345506365734434,0.0337616879801684,1,0.373746832091363,0.035355202337506,1,-0.00149022503448454,0.0353262414032262,0.054,0.337471486519875,0.0338361039386428,1,0.345528416170855,0.0337785015155715,1,-0.00146299878213906,0.0336225482676291,0.055,0.035821838557915,0.0340998150663455,0.034378031180549,0.0358281053263464,0.0353681985002917,0.034091326869397,0.03436644851885,0.0338516594411715,0.0737211996420619,0.037453505432704,0.0737468320913627,0.0374714865198747,"sim","classical","norm",NA,1000,1000,314
0.15,0.9,0.5,0.3,0,0,0,0,0,1,0.135,0,0.135,1,0.075,"NoV",0.375625953142277,0.0353146666836679,1,0.3144429666293,0.032710402030642,1,0.449185903911978,0.0327368382607908,1,0.375585416690282,0.035331364559906,1,0.000941738848627286,0.0353140312049994,0.042,0.314394187629378,0.032725883908743,1,0.449189116837381,0.0327527225827192,1,0.000929214759047198,0.0324046355385936,0.053,0.0354590831339371,0.0328103984513546,0.0332707657438163,0.0355312882138285,0.0353822748701734,0.0328682704304759,0.0333398440771311,0.0326308014197102,0.0756259531422769,0.0144429666292998,0.0755854166902818,0.0143941876293778,"sim","classical","norm",NA,1000,1000,314
0.2,0.1,0.5,0.3,0,0,0,0,0,1,0.02,0,0.02,1,0.1,"NoV",0.401253543332253,0.0352078460219471,1,0.400221997090751,0.035196229107652,1,0.0503024689186727,0.0352469984145775,0.3,0.401197728754748,0.0352251861282865,1,-0.00132404668048065,0.0352302890198557,0.049,0.400166369625848,0.0352136701592351,1,0.0502740100218621,0.0352632313609113,0.296,-0.0012464473571974,0.0352095230737407,0.046,0.0347281272237019,0.0347230530028169,0.0368482410097839,0.034742788173791,0.0357468540930157,0.0347383840524157,0.0368230348730598,0.0356438348328551,0.101253543332253,0.100221997090751,0.101197728754748,0.100166369625848,"sim","classical","norm",NA,1000,1000,314
0.2,0.3,0.5,0.3,0,0,0,0,0,1,0.06,0,0.06,1,0.1,"NoV",0.400256627958238,0.0352471945082603,1,0.391544274761602,0.0350390745612016,1,0.143823748499057,0.0350740401228672,0.987,0.400273581372464,0.0352635792468166,1,0.00120807069036783,0.0352683563093718,0.051,0.391565222355503,0.0350555027700809,1,0.143792411628588,0.0350931197186413,0.986,0.00119404332294941,0.0349936370645192,0.052,0.0320475606192324,0.0317906379118391,0.0341589371215335,0.032060132562696,0.0345272349600997,0.0317933695469649,0.0341528202072359,0.0340944088637853,0.100256627958238,0.0915442747616016,0.100273581372464,0.091565222355503,"sim","classical","norm",NA,1000,1000,314
0.2,0.5,0.5,0.3,0,0,0,0,0,1,0.1,0,0.1,1,0.1,"NoV",0.398260004177588,0.0352488339081016,1,0.373471471763245,0.0346111372338683,1,0.242145602733116,0.0345903911945349,1,0.398276812500544,0.0352674389665255,1,-0.00156706751652565,0.0352496037991592,0.0450000000000001,0.373493062916759,0.0346293308682265,1,0.24216107964808,0.0346085850321342,1,-0.00154041614135132,0.0344309073784725,0.052,0.0350316289415184,0.0346775761883422,0.0355336513545667,0.0350741640117785,0.035063049507752,0.034709866476714,0.0354676586742069,0.034224107561982,0.0982600041775879,0.073471471763245,0.0982768125005441,0.0734930629167589,"sim","classical","norm",NA,1000,1000,314
0.2,0.7,0.5,0.3,0,0,0,0,0,1,0.14,0,0.14,1,0.1,"NoV",0.400288120635421,0.035276733038245,1,0.352187895436138,0.0339448686338573,1,0.343181289580122,0.0339173947641962,1,0.400251045894577,0.0352938622981548,1,0.000264096261656844,0.0352345114641313,0.048,0.35214834658814,0.0339613477540057,1,0.343184060968207,0.033934005766561,1,0.000205568021221619,0.0335690063784835,0.049,0.0354545337594812,0.0334821235247214,0.0348586841450321,0.0354769821662086,0.0358336290083838,0.0335241964647572,0.0348726946381114,0.0342359825218951,0.100288120635421,0.0521878954361381,0.100251045894577,0.05214834658814,"sim","classical","norm",NA,1000,1000,314
0.2,0.9,0.5,0.3,0,0,0,0,0,1,0.18,0,0.18,1,0.1,"NoV",0.399803556068143,0.0352553631024679,1,0.319282032383761,0.0329547174242593,1,0.446232332881518,0.0329347123682972,1,0.399814317561139,0.0352733340869439,1,-0.000488160905728933,0.0352984617125077,0.0589999999999999,0.319286523169808,0.032971603558023,1,0.44624310316044,0.0329521125186832,1,0.00022418610739527,0.032455527598325,0.053,0.0347949988404373,0.0319874517473016,0.0331078907852413,0.0348413344808061,0.035259146770693,0.0320261177280764,0.0331591605393763,0.0324604966459129,0.0998035560681427,0.0192820323837612,0.0998143175611388,0.0192865231698081,"sim","classical","norm",NA,1000,1000,314
0.25,0.1,0.5,0.3,0,0,0,0,0,1,0.025,0,0.025,1,0.125,"NoV",0.424773218216002,0.0351199203601532,1,0.42355837468931,0.0351185117287865,1,0.0464734960104262,0.0351402720115382,0.259,0.424772655867033,0.0351360090353277,1,0.000917947502424382,0.0351422854891428,0.063,0.423562301071479,0.035134585718016,1,0.0464050659972209,0.0351569492757799,0.261,0.000903807294373334,0.0351302342341788,0.063,0.0351074042579112,0.0351435269922396,0.0342159117766684,0.0351260221103895,0.0363832325167354,0.0351587144119491,0.0342455486696424,0.0362966752579916,0.124773218216002,0.12355837468931,0.124772655867033,0.123562301071479,"sim","classical","norm",NA,1000,1000,314
0.25,0.3,0.5,0.3,0,0,0,0,0,1,0.075,0,0.075,1,0.125,"NoV",0.422862129510534,0.0352514039125947,1,0.41220205503946,0.0350788687756329,1,0.142413615908384,0.0350585404064046,0.983,0.422777858502833,0.035269548261305,1,0.00131338087667012,0.0352512355733177,0.047,0.412125926459236,0.0350969466746277,1,0.142390444275343,0.0350787365222157,0.982,0.00137661273891764,0.0349824557990351,0.042,0.0347735783745657,0.0345602135358031,0.0353937192711298,0.0347201768735157,0.0345530268447073,0.0345148704503891,0.0354201898379417,0.0341582888000947,0.122862129510534,0.112202055039461,0.122777858502833,0.112125926459236,"sim","classical","norm",NA,1000,1000,314
