"a1","a2","c1","c2","b1","b2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","rho_target","bias_target","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.5,0.5,0.15,0.25,0.1,0.3,0,0,0,1,0.075,0.125,0.2,0.375,0.05,0.2,0.05,"D1_FixRhoFixBias",0.350584626581753,0.0317369094645525,1,0.349650172675357,0.0324058819620615,1,0.00495169744122448,0.0323830461410836,0.054,0.367207540669747,0.0366445079020942,1,-0.0333046002577281,0.0366510113933573,0.138,0.366193456699377,0.0368073301231995,1,0.0105641977393863,0.0329068850282695,0.0589999999999999,-0.0353720421766073,0.0372581753596011,0.156,0.0314069630286319,0.032148630993376,0.0323806370688125,0.0366459735366065,0.0356489324803439,0.0367569122467568,0.0331087630932226,0.0365822302610753,0.0505846265817532,0.0496501726753575,0.0672075406697468,0.0661934566993769,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.15,0.25,0.2,0.3,0,0,0,1,0.075,0.125,0.2,0.375,0.1,0.2,0.1,"D1_FixRhoFixBias",0.400130448567882,0.0321499823101094,1,0.398209532289405,0.0328331884265685,1,0.00940626241272312,0.0328017555255244,0.0569999999999999,0.43303454733471,0.0370809787593316,1,-0.0657515913555442,0.0370824897840465,0.415,0.430941134347816,0.037244933037866,1,0.0202463186263189,0.033283038197312,0.0920000000000001,-0.069771309129844,0.0376845902303693,0.454,0.033496518552527,0.0341312751685627,0.0329478214863679,0.0387042879884574,0.0376771538985964,0.0388165880419771,0.0334698350427435,0.0383327303842254,0.100130448567882,0.0982095322894054,0.13303454733471,0.130941134347816,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.15,0.25,0.3,0.3,0,0,0,1,0.075,0.125,0.2,0.375,0.15,0.2,0.15,"D1_FixRhoFixBias",0.450890673139746,0.0326508208119268,1,0.448249539988012,0.0333266624887,1,0.013309490234021,0.033352006936308,0.0729999999999998,0.501668439925651,0.0375831727537567,1,-0.101706144232248,0.0376127416339988,0.776,0.498691319294154,0.0377328988515331,1,0.0301361195029628,0.0337689202643805,0.155,-0.107722063420421,0.0382177050981163,0.808,0.0331814011762279,0.0335828456376213,0.0343243231743619,0.0380040149404125,0.0375102321548205,0.0379995492134404,0.0345733234557491,0.0379928514242227,0.150890673139746,0.148249539988012,0.201668439925651,0.198691319294154,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.15,0.25,0.4,0.3,0,0,0,1,0.075,0.125,0.2,0.375,0.2,0.2,0.2,"D1_FixRhoFixBias",0.499360371682356,0.0335083776945859,1,0.495101791155263,0.0342047253064792,1,0.0213769056285859,0.034219623737765,0.0889999999999998,0.566179334134625,0.0385121988440073,1,-0.133426353799663,0.038545425224612,0.932,0.561891486511639,0.0386488992262142,1,0.0438032625010928,0.0345678133972549,0.235,-0.142278976980227,0.0391646156130955,0.95,0.0326390859273945,0.0332022421752811,0.0333459809281446,0.0380062299099308,0.0390045951687142,0.0380657292732277,0.0339144100711122,0.0399549390694396,0.199360371682356,0.195101791155263,0.266179334134625,0.261891486511639,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.15,0.25,0.5,0.3,0,0,0,1,0.075,0.125,0.2,0.375,0.25,0.2,0.25,"D1_FixRhoFixBias",0.550631219333869,0.0344946055468072,1,0.545850029062839,0.0352212749445626,1,0.0240962865108922,0.0352419710527866,0.103,0.635357272605335,0.0395293586000627,1,-0.168980736483962,0.0395179397928125,0.99,0.630176145407607,0.0396657614009873,1,0.0521853992230197,0.035471879592202,0.31,-0.179439716642342,0.0401300536493257,0.993,0.0344834572562677,0.0351854989844185,0.0343600100751537,0.039573367949544,0.0394557958249465,0.039576731600695,0.0347486172762822,0.0402380508563018,0.250631219333869,0.245850029062839,0.335357272605335,0.330176145407607,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.15,0.65,0.1,0.3,0,0,0,1,0.075,0.325,0.4,0.1875,0.05,0.4,0.05,"D1_FixRhoFixBias",0.348705619205002,0.0317554902884413,1,0.351724205238646,0.0346628623728512,1,-0.0075810588698554,0.0346452492186064,0.069,0.365148438657257,0.036670793144022,1,-0.0329061796694215,0.0366253386794881,0.149,0.363630870776557,0.0369257824115061,1,0.0148670502036435,0.0420589355620856,0.069,-0.0417865591863987,0.0444776710764524,0.162,0.0327544218372725,0.0354379529719595,0.0356631599322518,0.0373316458064127,0.0368552421128681,0.0374923067930002,0.0435095188048055,0.0449941888375571,0.0487056192050021,0.0517242052386458,0.065148438657257,0.0636308707765568,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.15,0.65,0.2,0.3,0,0,0,1,0.075,0.325,0.4,0.1875,0.1,0.4,0.1,"D1_FixRhoFixBias",0.401404404575476,0.0320762516667334,1,0.405981238260276,0.0350174837559527,1,-0.0114590348207557,0.0350854655337372,0.066,0.434532911329022,0.0370069330712332,1,-0.0663490551670057,0.037113532902159,0.424,0.431013393513467,0.0372558426036566,1,0.0353164578848861,0.0425119461513455,0.138,-0.0875691777038375,0.0450384665875212,0.487,0.0313509607432926,0.034844156995913,0.0353571855925856,0.0360292779883472,0.0365859689295398,0.0365043360751383,0.0436274512870985,0.0452956370060244,0.101404404575477,0.105981238260276,0.134532911329023,0.131013393513467,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.15,0.65,0.3,0.3,0,0,0,1,0.075,0.325,0.4,0.1875,0.15,0.4,0.15,"D1_FixRhoFixBias",0.44898877114006,0.0327260062232147,1,0.455781102533608,0.0357255900424975,1,-0.0168983754270402,0.0356792665191353,0.0829999999999999,0.4992535736635,0.0376638933463925,1,-0.100484207046254,0.0376085996221415,0.764,0.49379685001889,0.0379041798851518,1,0.0544636774530922,0.0431504524627476,0.247,-0.133157341161316,0.0456420783992435,0.83,0.0324640275733408,0.0342430601560511,0.0363635242808979,0.0368578353820677,0.0393850182401062,0.0369161038089986,0.0426761619466109,0.0462403103581001,0.14898877114006,0.155781102533608,0.1992535736635,0.19379685001889,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.15,0.65,0.4,0.3,0,0,0,1,0.075,0.325,0.4,0.1875,0.2,0.4,0.2,"D1_FixRhoFixBias",0.500764420703319,0.0334740107819641,1,0.510208735021327,0.0365310672316754,1,-0.0236861777269718,0.0365654064598377,0.103,0.567136703385866,0.038424624419867,1,-0.133079313616112,0.0384778055190212,0.923,0.560078124084117,0.0386508971681231,1,0.0700209282104412,0.0440843242819987,0.356,-0.175034099153723,0.0466591579856238,0.956,0.0326510323560348,0.0361261069409717,0.0364951103934273,0.0381442654592833,0.0395722595961737,0.0384131532170751,0.0432630171151294,0.0474367045430503,0.200764420703319,0.210208735021327,0.267136703385866,0.260078124084117,"sim","classical","norm",NA,1000,1000,314
0.5,0.5,0.15,0.65,0.5,0.3,0,0,0,1,0.075,0.325,0.4,0.1875,0.25,0.4,0.25,"D1_FixRhoFixBias",0.548640009406272,0.0344731818806496,1,0.560698567778341,0.0376276055891241,1,-0.0300380176951685,0.0376326659868859,0.136,0.631881415938216,0.0394952057836964,1,-0.166513895269103,0.039542898103714,0.989,0.623173131207777,0.0397000103002218,1,0.0866335152847507,0.0452058746166069,0.497,-0.218423451801375,0.047906285080965,0.995,0.0344577001635715,0.0381836051257871,0.0376840367982701,0.0396529214380984,0.0389476360418388,0.0397582726895637,0.0461443953437952,0.0484105767959456,0.248640009406272,0.260698567778341,0.331881415938216,0.323173131207777,"sim","classical","norm",NA,1000,1000,314
