"a1","c1","b1","b2","a2","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.15,0.1,0.5,0.3,0,0,0,0,0,1,0.015,0,0.015,1,0.075,"NoV",0.381514504459277,0.0360897638158165,1,0.380679233597106,0.0360687258417281,1,0.0498568429598248,0.0356224153690342,0.307,0.381504820717259,0.0361121500420744,1,-0.000479169026891375,0.0349855204746193,0.04,0.380668589870685,0.0360913227666781,1,0.0498656085889117,0.0356431980626302,0.309,-0.000540060671448372,0.0349764638990276,0.044,0.0372050694903795,0.0370738457681738,0.0382196858512396,0.0372089319500786,0.0355957430045557,0.0370731259511108,0.0383121341434762,0.0356590603629423,0.0815145044592768,0.0806792335971058,0.0815048207172587,0.0806685898706855,"sim","HC1","t",3,1000,1000,314
0.15,0.3,0.5,0.3,0,0,0,0,0,1,0.045,0,0.045,1,0.075,"NoV",0.380419746315397,0.0364798933678003,0.999,0.372958363884342,0.0359398680965106,0.999,0.154343784527354,0.0398205412176097,0.942,0.380445733610398,0.0364961446823366,0.999,0.000466761599671553,0.0344769542577759,0.053,0.37298384738388,0.0359565165907013,0.999,0.154269487482269,0.0398345208541759,0.939,0.000707575413575538,0.0341609714913774,0.0509999999999999,0.0383864331949903,0.0378453034638615,0.0434630927122892,0.0384424114223589,0.0349147337771086,0.0379115193888546,0.0434960755066992,0.0343574198511393,0.0804197463153975,0.0729583638843417,0.0804457336103979,0.07298384738388,"sim","HC1","t",3,1000,1000,314
0.15,0.5,0.5,0.3,0,0,0,0,0,1,0.075,0,0.075,1,0.075,"NoV",0.379847291358208,0.0366769085765563,0.999,0.35911173706316,0.0352424028393765,0.999,0.254851986159076,0.0435533537668215,0.976,0.379847098278231,0.036696543196712,0.999,-0.00197334702180232,0.0349631033909913,0.054,0.359109458059772,0.0352613700284183,0.999,0.254839346605603,0.0435683881463254,0.976,-0.00173207381304513,0.0340691840652994,0.044,0.039450740729283,0.0374213998406195,0.0523048216035902,0.0394469492361101,0.0348277654127407,0.0374027258557052,0.0522906590438292,0.033791796347017,0.0798472913582082,0.0591117370631601,0.0798470982782309,0.0591094580597719,"sim","HC1","t",3,1000,1000,314
0.15,0.7,0.5,0.3,0,0,0,0,0,1,0.105,0,0.105,1,0.075,"NoV",0.379127610645131,0.0359144537805661,1,0.33975512312747,0.0331787201073515,1,0.353049068416293,0.0424334590504057,0.997,0.37914976048129,0.035938115488067,1,-0.00193203768901926,0.034661649231424,0.042,0.339763509258416,0.0331965666617319,1,0.353034852014243,0.0424464532025252,0.997,-0.00226197330296111,0.0328684241746263,0.044,0.0377464224521809,0.0339820074155896,0.0467401360322619,0.0377466052729255,0.0351612870862677,0.0339800368933218,0.0467287023388865,0.0332369393338907,0.0791276106451312,0.0397551231274699,0.0791497604812896,0.039763509258416,"sim","HC1","t",3,1000,1000,314
0.15,0.9,0.5,0.3,0,0,0,0,0,1,0.135,0,0.135,1,0.075,"NoV",0.379857688318517,0.0363166640598378,0.999,0.314974946049257,0.0322075361277345,0.999,0.450049709107016,0.0359396247125011,0.999,0.379845367372867,0.0363446226431098,0.999,-0.000379086987881498,0.0349724171362656,0.0520000000000003,0.314967283263423,0.0322389384181959,0.999,0.449955772511525,0.0359281181204459,0.999,6.68037284083176e-05,0.0319198186167595,0.041,0.0388923923560378,0.0344428478646948,0.038741304025274,0.0389525881515501,0.0378661492748969,0.0345219639024259,0.0386926205921846,0.0339793300735799,0.0798576883185171,0.0149749460492574,0.0798453673728669,0.0149672832634235,"sim","HC1","t",3,1000,1000,314
0.2,0.1,0.5,0.3,0,0,0,0,0,1,0.02,0,0.02,1,0.1,"NoV",0.404968440697662,0.0375897212861789,1,0.403921293818884,0.037519643304521,1,0.05123021627848,0.0356853989791763,0.317,0.405014085048378,0.0375972077104373,1,0.000504341430051149,0.0346737428105259,0.046,0.403964223453355,0.0375278166316381,1,0.051213180048092,0.0357136087846256,0.312,0.000582509433638674,0.0346616053629337,0.045,0.0410697974439194,0.0410431483808139,0.0369561323404675,0.0409924244137524,0.0338255237905093,0.0409658918326589,0.0369645501553911,0.03377348632264,0.104968440697662,0.103921293818884,0.105014085048378,0.103964223453355,"sim","HC1","t",3,1000,1000,314
0.2,0.3,0.5,0.3,0,0,0,0,0,1,0.06,0,0.06,1,0.1,"NoV",0.404868492756394,0.0373966868840414,1,0.395434093329019,0.0367205494621708,1,0.152073844354273,0.0393779855632478,0.943,0.40484983560284,0.0374067521893235,1,-0.000603760011330142,0.0348662261010617,0.045,0.395413014343612,0.0367310461275883,1,0.152101274814998,0.0393859896893099,0.944,-0.000528537678600172,0.0345496812551526,0.049,0.0399170713598865,0.0393822074876161,0.0428386584972446,0.0399044655946219,0.0358245772414328,0.0393874145439216,0.0428908329299988,0.035709406368634,0.104868492756394,0.0954340933290189,0.10484983560284,0.095413014343612,"sim","HC1","t",3,1000,1000,314
0.2,0.5,0.5,0.3,0,0,0,0,0,1,0.1,0,0.1,1,0.1,"NoV",0.404964048644795,0.0372270337697349,0.999,0.378266662401467,0.0354330831077731,0.999,0.250357578280262,0.0428999463712239,0.99,0.404930057581242,0.0372528688747823,0.999,-0.00234528403346199,0.0346036681546973,0.046,0.378230817872546,0.0354579866074921,0.999,0.250385474008172,0.0429206756663561,0.989,-0.00195384845009102,0.033720702537971,0.047,0.0405541477248388,0.0383353237895872,0.0489723929863219,0.0405454128277934,0.0339218113902969,0.0383197028315334,0.0490171793793942,0.0332220396677048,0.104964048644795,0.0782666624014665,0.104930057581242,0.0782308178725457,"sim","HC1","t",3,1000,1000,314
0.2,0.7,0.5,0.3,0,0,0,0,0,1,0.14,0,0.14,1,0.1,"NoV",0.405604310243494,0.0373032198581567,1,0.353458382355606,0.034242704412654,1,0.353430026820653,0.0424976530194852,0.994,0.405565577442233,0.0373227942762278,1,0.00162929517714241,0.0347309588135367,0.045,0.353427351515028,0.0342607820761055,1,0.353413240356806,0.0425103243358173,0.994,0.00141055096808241,0.0329382849290539,0.045,0.0407923668277296,0.0364496569864056,0.0480349175183414,0.0408554203113522,0.035103930530389,0.0365482104658212,0.0481332883859063,0.0332939088783071,0.105604310243494,0.0534583823556065,0.105565577442233,0.0534273515150283,"sim","HC1","t",3,1000,1000,314
0.2,0.9,0.5,0.3,0,0,0,0,0,1,0.18,0,0.18,1,0.1,"NoV",0.406430473477536,0.037263924525938,1,0.320053286164711,0.032455535028216,1,0.448014402367922,0.0355880807061584,0.999,0.406435820188867,0.0372955190178475,1,0.00172036116830169,0.0350144328661495,0.072,0.320050895688657,0.032497160874482,1,0.447966748160462,0.0356318612570975,0.999,0.000856018317621267,0.0321025379554655,0.059,0.0400151963982132,0.0339958723326721,0.0382893834917086,0.040019978434187,0.0405937780261063,0.0341014565570504,0.0383364714856347,0.0375916364553296,0.106430473477536,0.020053286164711,0.106435820188867,0.0200508956886565,"sim","HC1","t",3,1000,1000,314
