"a1","c1","b1","b2","a2","c2","a0","b0","c0","sigma_eY","ax_1","ax_2","bx_1","bx_2","p_x2","rho_U","rho_V","rho_total","rho_rel_U","bias_struct","var_A_given_X","bias_fit1_pop","var_A_given_XV","bias_fit3_pop","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_Atilde_fit2","se_Atilde_fit2","power_Atilde_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_Atilde_fit4","se_Atilde_fit4","power_Atilde_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_Atilde_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_Atilde_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.25,0.1,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.025,0,0.025,1,0.125,0.955,0.130890052356021,0.955,0.130890052356021,"NoV_WithX",0.430158573430356,0.0360403889820062,1,0.429032012973795,0.036039843782912,1,0.0455871355804884,0.035236722406872,0.243,0.430195755866403,0.0360581173612767,1,0.00281538722753567,0.0352382551123504,0.0470000000000001,0.429069993779206,0.0360574606800012,1,0.0456313660834775,0.0352549466354023,0.246,0.00281004650078129,0.0352279013103573,0.0459999999999999,0.0353277501742488,0.035310590418194,0.0343243454792465,0.0353630904055461,0.0351896317314302,0.035339725220968,0.0343705585848502,0.0352711385257103,0.130158573430356,0.129032012973795,0.130195755866403,0.129069993779206,"sim","classical","norm",NA,1000,1000,314
0.25,0.3,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.075,0,0.075,1,0.125,0.955,0.130890052356021,0.955,0.130890052356021,"NoV_WithX",0.43174418091084,0.0360145053080549,1,0.420628926180086,0.0358469317580633,1,0.141181723846424,0.0350299917203655,0.983,0.43178603664293,0.0360309822106769,1,0.000365720061738359,0.0352221513696665,0.046,0.42067184085793,0.0358635869606417,1,0.141135949529982,0.0350478423523653,0.982,0.000255701615200998,0.0349553281539472,0.0470000000000001,0.0369415885975334,0.0367972785265114,0.0355579963203318,0.0369436249822046,0.0354209673384184,0.0367918094911158,0.0355737986544934,0.0349638187403007,0.13174418091084,0.120628926180086,0.13178603664293,0.12067184085793,"sim","classical","norm",NA,1000,1000,314
0.25,0.5,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.125,0,0.125,1,0.125,0.955,0.130890052356021,0.955,0.130890052356021,"NoV_WithX",0.432207668303171,0.0359988716400469,1,0.400903578186945,0.0354898781658538,1,0.23773061479399,0.0346740579489048,1,0.432276633750864,0.0360166264966618,1,-0.0013783966289178,0.0351863671475216,0.0589999999999999,0.400970826625004,0.0355076010172127,1,0.237711768132948,0.0346906575448175,1,-0.00121703494150881,0.0344013253020255,0.061,0.034728009400484,0.0342372543680272,0.0341259969688793,0.0348236246033753,0.0358789154423324,0.0343394519670991,0.0341639250563861,0.0350182113376577,0.132207668303171,0.100903578186945,0.132276633750864,0.100970826625004,"sim","classical","norm",NA,1000,1000,314
0.25,0.7,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.175,0,0.175,1,0.125,0.955,0.130890052356021,0.955,0.130890052356021,"NoV_WithX",0.429564898422769,0.0359992703669511,1,0.367498303545734,0.0349358160707778,1,0.337711345400195,0.0341420045991054,1,0.429555969169583,0.0360165531826052,1,7.26849561911101e-05,0.0351800647281409,0.038,0.367492578340747,0.0349523537573173,1,0.337716415279914,0.0341577802121643,1,0.000396637992642584,0.033583389168668,0.0420000000000001,0.0353970062382796,0.0344844348558253,0.034255201962823,0.0353688779487809,0.0351067255648412,0.0344910356565994,0.0341901097027936,0.0336224370400327,0.129564898422769,0.067498303545734,0.129555969169583,0.0674925783407468,"sim","classical","norm",NA,1000,1000,314
0.25,0.9,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.225,0,0.225,1,0.125,0.955,0.130890052356021,0.955,0.130890052356021,"NoV_WithX",0.430783405072232,0.0359535204366492,1,0.326880801343141,0.0340489275754337,1,0.443051254850399,0.033285618033189,1,0.430752785517711,0.035971836894796,1,-0.000111978759860003,0.0351937199510178,0.044,0.326830154809855,0.0340661336862873,1,0.443102942651744,0.0333035394964853,1,-5.41238709849824e-05,0.0324413404806141,0.0509999999999999,0.0359150317755573,0.0332654079591903,0.0328873458560685,0.0359254443773808,0.0334373368621123,0.0332665674648186,0.0328699069155623,0.0312159436639179,0.130783405072232,0.026880801343141,0.130752785517711,0.0268301548098553,"sim","classical","norm",NA,1000,1000,314
0.3,0.1,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.03,0,0.03,1,0.15,0.955,0.157068062827225,0.955,0.157068062827225,"NoV_WithX",0.456095037873891,0.0359092220346148,1,0.454661865932713,0.0359166677949807,1,0.0452214899347122,0.0350655869879914,0.249,0.456087245014731,0.035928724796172,1,-1.71013430725785e-05,0.0351374976472881,0.0500000000000001,0.454653880426472,0.0359361495624968,1,0.0452518084485398,0.0350839653865109,0.25,0.000103244715835933,0.0351254392559491,0.054,0.0349082149197488,0.0348267360074161,0.0352626884422052,0.0349410560898075,0.0342204186817826,0.0348642613079266,0.0352863014559383,0.0342548175181065,0.156095037873891,0.154661865932713,0.156087245014731,0.154653880426472,"sim","classical","norm",NA,1000,1000,314
0.3,0.3,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.09,0,0.09,1,0.15,0.955,0.157068062827225,0.955,0.157068062827225,"NoV_WithX",0.456838078262574,0.0359469045914102,1,0.443898700431768,0.0358420951898391,1,0.137332299381322,0.034978484090515,0.976,0.456859542819996,0.0359657088059644,1,0.000186023041189843,0.035148836110689,0.039,0.443930726567535,0.035860827011373,1,0.137294521878221,0.0349974612108445,0.974,0.00032791436354513,0.0348977221940303,0.0349999999999999,0.0359718581024966,0.0361479808084092,0.0346882595243643,0.0360388595766204,0.0343675153703216,0.0362324094882888,0.0347340086031958,0.0339874979453928,0.156838078262574,0.143898700431768,0.156859542819996,0.143930726567535,"sim","classical","norm",NA,1000,1000,314
0.3,0.5,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.15,0,0.15,1,0.15,0.955,0.157068062827225,0.955,0.157068062827225,"NoV_WithX",0.456833164156341,0.0358666896105157,1,0.420529341857856,0.0355209255045935,1,0.232457180153741,0.034737822772102,1,0.456857151355669,0.0358842272717425,1,-0.000586356101018535,0.0350884874545368,0.056,0.420548438681933,0.0355382813085131,1,0.232470450246205,0.0347546807091293,1,-0.00021275605305459,0.0343412251480214,0.056,0.0335732546576281,0.0338839502682128,0.0351453217145738,0.0335656818826064,0.0350060372999953,0.0338866751824136,0.0351690508352978,0.0343830397511362,0.156833164156341,0.120529341857856,0.156857151355669,0.120548438681933,"sim","classical","norm",NA,1000,1000,314
0.3,0.7,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.21,0,0.21,1,0.15,0.955,0.157068062827225,0.955,0.157068062827225,"NoV_WithX",0.458194824040647,0.0358973090149802,1,0.384914518534202,0.0351709360709969,1,0.332058494756023,0.0343827850738698,1,0.458128262526452,0.0359150710453422,1,-4.26945243956777e-05,0.0351037001558776,0.058,0.384852532004293,0.0351889795026868,1,0.332015107167684,0.0344003614215184,1,1.70817383031867e-05,0.0335820547625039,0.049,0.0354582936736202,0.0348718145991469,0.0352562103661563,0.0355496051870821,0.0351650857777719,0.0349537338678729,0.0352644865315132,0.0332471245651888,0.158194824040647,0.0849145185342025,0.158128262526452,0.0848525320042934,"sim","classical","norm",NA,1000,1000,314
0.3,0.9,0.5,0.3,0,0,0,0,0,1,0.15,0.15,0.2,0.2,0.5,0.27,0,0.27,1,0.15,0.955,0.157068062827225,0.955,0.157068062827225,"NoV_WithX",0.456485297115382,0.0358969785764843,1,0.331455687585488,0.0345242058022691,1,0.441266565142134,0.0337411697516277,1,0.456446823311275,0.0359146669803527,1,-0.0010212151920934,0.0351147022156659,0.0500000000000001,0.331408987214842,0.0345414458889107,1,0.441251718183271,0.0337569936641784,1,-0.00104445271731101,0.0324518489087906,0.043,0.0346299987231128,0.0337858060227373,0.0357751652879623,0.0346645137633393,0.0355332144278963,0.0338261139306813,0.0358083245448448,0.0328232565537247,0.156485297115382,0.0314556875854878,0.156446823311275,0.0314089872148416,"sim","classical","norm",NA,1000,1000,314
