"a1","c1","b1","b2","a2","c2","a0","b0","c0","sigma_eY","rho_U","rho_V","rho_total","rho_rel_U","bias","design","beta_A_fit1","se_A_fit1","power_A_fit1","beta_A_fit2","se_A_fit2","power_A_fit2","beta_N_fit2","se_N_fit2","power_N_fit2","beta_A_fit3","se_A_fit3","power_A_fit3","beta_V_fit3","se_V_fit3","power_V_fit3","beta_A_fit4","se_A_fit4","power_A_fit4","beta_N_fit4","se_N_fit4","power_N_fit4","beta_V_fit4","se_V_fit4","power_V_fit4","sd_beta_A_fit1","sd_beta_A_fit2","sd_beta_N_fit2","sd_beta_A_fit3","sd_beta_V_fit3","sd_beta_A_fit4","sd_beta_N_fit4","sd_beta_V_fit4","bias_A_fit1","bias_A_fit2","bias_A_fit3","bias_A_fit4","source","se_type","noise_dist","df_t","n_sample","n_iters","seed"
0.15,0.5,0.5,0.3,0,0,0,0,0,1,0.075,0,0.075,1,0.075,"D0",0.379847291358208,0.03616682921141,1,0.35911173706316,0.0353646238095943,1,0.254851986159076,0.0348590198704268,1,0.379847098278231,0.036185004693382,1,-0.00197334702180232,0.0351635559924429,0.052,0.359109458059772,0.0353825267278128,1,0.254839346605603,0.0348775264688085,1,-0.00173207381304513,0.0342740532981813,0.048,0.039450740729283,0.0374213998406195,0.0523048216035902,0.0394469492361101,0.0348277654127407,0.0374027258557052,0.0522906590438292,0.033791796347017,0.0798472913582082,0.0591117370631601,0.0798470982782309,0.0591094580597719,"sim","classical","t",3,1000,1000,314
0.15,0.7,0.5,0.3,0,0,0,0,0,1,0.105,0,0.105,1,0.075,"D0",0.379127610645131,0.0356307528209101,1,0.33975512312747,0.0340283368462344,1,0.353049068416293,0.0336160985044595,1,0.37914976048129,0.0356492849627176,1,-0.00193203768901926,0.034845049762178,0.044,0.339763509258416,0.0340463586044729,1,0.353034852014243,0.0336336931894239,1,-0.00226197330296111,0.0330713977031316,0.045,0.0377464224521809,0.0339820074155896,0.0467401360322619,0.0377466052729255,0.0351612870862677,0.0339800368933218,0.0467287023388865,0.0332369393338907,0.0791276106451312,0.0397551231274699,0.0791497604812896,0.039763509258416,"sim","classical","t",3,1000,1000,314
0.15,0.9,0.5,0.3,0,0,0,0,0,1,0.135,0,0.135,1,0.075,"D0",0.379857688318517,0.0361327353096379,1,0.314974946049257,0.0334310463737528,1,0.450049709107016,0.0325816771465618,1,0.379845367372867,0.0361491164342267,1,-0.000379086987881498,0.0351636518862225,0.0550000000000002,0.314967283263423,0.0334471746551879,1,0.449955772511525,0.0325977319540477,1,6.68037284083176e-05,0.03220807754985,0.0420000000000001,0.0388923923560378,0.0344428478646948,0.038741304025274,0.0389525881515501,0.0378661492748969,0.0345219639024259,0.0386926205921846,0.0339793300735799,0.0798576883185171,0.0149749460492574,0.0798453673728669,0.0149672832634235,"sim","classical","t",3,1000,1000,314
0.2,0.1,0.5,0.3,0,0,0,0,0,1,0.02,0,0.02,1,0.1,"D0",0.404968440697662,0.0356396130981318,1,0.403921293818884,0.0356294212995057,1,0.05123021627848,0.0358472483616526,0.299,0.405014085048378,0.0356595666025477,1,0.000504341430051149,0.0349495105705165,0.041,0.403964223453355,0.0356494810300948,1,0.051213180048092,0.0358677712792947,0.302,0.000582509433638674,0.0349330257677752,0.04,0.0410697974439194,0.0410431483808139,0.0369561323404675,0.0409924244137524,0.0338255237905093,0.0409658918326589,0.0369645501553911,0.03377348632264,0.104968440697662,0.103921293818884,0.105014085048378,0.103964223453355,"sim","classical","t",3,1000,1000,314
0.2,0.3,0.5,0.3,0,0,0,0,0,1,0.06,0,0.06,1,0.1,"D0",0.404868492756394,0.0354977539349324,1,0.395434093329019,0.0352651597034031,1,0.152073844354273,0.0354616019621015,0.979,0.40484983560284,0.0355135698090551,1,-0.000603760011330142,0.0348513388068905,0.05,0.395413014343612,0.0352807402223357,1,0.152101274814998,0.0354785548454134,0.981,-0.000528537678600172,0.0345515324340648,0.055,0.0399170713598865,0.0393822074876161,0.0428386584972446,0.0399044655946219,0.0358245772414328,0.0393874145439216,0.0428908329299988,0.035709406368634,0.104868492756394,0.0954340933290189,0.10484983560284,0.095413014343612,"sim","classical","t",3,1000,1000,314
0.2,0.5,0.5,0.3,0,0,0,0,0,1,0.1,0,0.1,1,0.1,"D0",0.404964048644795,0.0357086160065119,1,0.378266662401467,0.0350345626089653,1,0.250357578280262,0.0348071170546242,0.999,0.404930057581242,0.0357271176348827,1,-0.00234528403346199,0.034906520042941,0.045,0.378230817872546,0.0350526723807732,1,0.250385474008172,0.0348268447752756,0.999,-0.00195384845009102,0.0340502824056012,0.039,0.0405541477248388,0.0383353237895872,0.0489723929863219,0.0405454128277934,0.0339218113902969,0.0383197028315334,0.0490171793793942,0.0332220396677048,0.104964048644795,0.0782666624014665,0.104930057581242,0.0782308178725457,"sim","classical","t",3,1000,1000,314
0.2,0.7,0.5,0.3,0,0,0,0,0,1,0.14,0,0.14,1,0.1,"D0",0.405604310243494,0.0357498056674757,1,0.353458382355606,0.0343313777477587,1,0.353430026820653,0.0339361044912267,1,0.405565577442233,0.0357688327390035,1,0.00162929517714241,0.0349700461636088,0.042,0.353427351515028,0.0343496382563524,1,0.353413240356806,0.0339527755928817,1,0.00141055096808241,0.0332148678810837,0.042,0.0407923668277296,0.0364496569864056,0.0480349175183414,0.0408554203113522,0.035103930530389,0.0365482104658212,0.0481332883859063,0.0332939088783071,0.105604310243494,0.0534583823556065,0.105565577442233,0.0534273515150283,"sim","classical","t",3,1000,1000,314
0.2,0.9,0.5,0.3,0,0,0,0,0,1,0.18,0,0.18,1,0.1,"D0",0.406430473477536,0.0358722110062813,0.999,0.320053286164711,0.0334949412744861,0.999,0.448014402367922,0.0326765898960251,1,0.406435820188867,0.0358879650210908,0.999,0.00172036116830169,0.034931248130009,0.0740000000000001,0.320050895688657,0.0335109168756887,0.999,0.447966748160462,0.0326929098000521,1,0.000856018317621267,0.0320306813267986,0.062,0.0400151963982132,0.0339958723326721,0.0382893834917086,0.040019978434187,0.0405937780261063,0.0341014565570504,0.0383364714856347,0.0375916364553296,0.106430473477536,0.020053286164711,0.106435820188867,0.0200508956886565,"sim","classical","t",3,1000,1000,314
0.25,0.1,0.5,0.3,0,0,0,0,0,1,0.025,0,0.025,1,0.125,"D0",0.431622742448762,0.0357424332997528,1,0.430428585743658,0.0357363753488416,1,0.0479704258032599,0.03583723488879,0.265,0.431615166960264,0.0357613816049054,1,0.001445219741772,0.0349169697070756,0.047,0.430419706769659,0.0357554547305884,1,0.0479288626256966,0.0358559543753857,0.261,0.00137088765109687,0.0349021980064921,0.045,0.0418833906846215,0.0418257841826134,0.0394163342466097,0.0418878085492124,0.0347042339382763,0.0418312012735806,0.0394364478440175,0.0346364601754836,0.131622742448762,0.130428585743658,0.131615166960264,0.130419706769659,"sim","classical","t",3,1000,1000,314
0.25,0.3,0.5,0.3,0,0,0,0,0,1,0.075,0,0.075,1,0.125,"D0",0.432440623128296,0.0355812323364344,1,0.420652923474153,0.0354005311895696,1,0.148967166612726,0.0354181441578691,0.974,0.432414229857701,0.0356000358000518,1,-0.000317444178514666,0.0348691698592662,0.053,0.42062380839955,0.0354191155341628,1,0.149017291001985,0.0354347938593773,0.974,-6.00438908247121e-05,0.0345802282004098,0.0500000000000001,0.0416180431672837,0.0401025790877695,0.0430087004979302,0.0416025836431071,0.0356332335649137,0.0400896034833446,0.043010889714595,0.0355138467202575,0.132440623128296,0.120652923474153,0.132414229857701,0.12062380839955,"sim","classical","t",3,1000,1000,314
